submitted_symbol	official_symbol	flybase_id	current_fullname	symbol_synonyms	secondary_flybase_ids	annotation_id	match_type	ambiguous
x16	x16	FBgn0028554	x16 splicing factor	2/30|9G8|anon-WO0118547.78|CG10203|d9G8|Dx16|dx16|Dxl6|dxl6|l(2)k00230|RBP1-like|TN166|X16|x16|X16/9G8|XL6|Xl6|xl6	FBgn0022271,FBgn0040511,FBgn0061658	CG10203	official_symbol	Yes
hfp	hfp	FBgn0028577	half pint	anon-WO0118547.408|CG12085|dFIR|DPUF68|Fir|HFP|Hfp|hfp|pUbsf|PUF60|Puf60|PUF68|Puf68|pUF68|pUf68|puf68	FBgn0062032	CG12085	official_symbol	No
eIF3g1	eIF3g1	FBgn0029629	eukaryotic translation initiation factor 3 subunit g1	CG8636|cg8636|eIF s4|eIF-3|eIF-3ga|eIF3-S4|EIF3G|eIF3g|EIF3G1|eIF3G1|eIF3ga		CG8636	official_symbol	No
CG6999	CG6999	FBgn0030085				CG6999	official_symbol	No
Rbp1-like	Rbp1-like	FBgn0030479	Rbp1-like	BcDNA:RE47308|BEST:HL02433|CG1987|i159|RBP1-like|Rbp1L	FBgn0063004,FBgn0069063	CG1987	official_symbol	Yes
CG10993	CG10993	FBgn0030524		BcDNA:GH23064	FBgn0063227	CG10993	official_symbol	No
CG14414	CG14414	FBgn0030571		BcDNA:AT01764|cg14414	FBgn0063363	CG14414	official_symbol	No
CG18259	CG18259	FBgn0030956				CG18259	official_symbol	No
CG6961	CG6961	FBgn0030959		cg6961		CG6961	official_symbol	No
CG14230	CG14230	FBgn0031062		anon-18DEe|cg14230|clone 9.42|Nol8	FBgn0019898	CG14230	official_symbol	No
CG11454	CG11454	FBgn0031224		cg11454|dRbm7		CG11454	official_symbol	No
CG4887	CG4887	FBgn0031318		cg4887		CG4887	official_symbol	No
CG4896	CG4896	FBgn0031319		cg4896		CG4896	official_symbol	No
CG15440	Secp43	FBgn0031607	tRNA Selenocysteine associated protein	CG15440|cg15440		CG15440	synonym	No
CG3294	CG3294	FBgn0031628		cg3294		CG3294	official_symbol	No
Caper	Caper	FBgn0031883	Caper	CAPER|Caper|caper|CC1.3|CG11266|cg11266|HCC1|igru		CG11266	official_symbol	No
Ref2	Ref2	FBgn0032439	RNA and export factor binding protein 2	CG17031|cg17031|REF2|ref2		CG17031	official_symbol	Yes
CG12288	CG12288	FBgn0032620		cg12288|RBM34		CG12288	official_symbol	No
CG10466	CG10466	FBgn0032822		anon-WO0140519.255|cg10466	FBgn0044613	CG10466	official_symbol	No
tsu	tsu	FBgn0033378	tsunagi	CG8781|cg8781|dY14|TSU|Tsu|Y14|y14|Y14/Tsunagi		CG8781	official_symbol	No
eIF3b	eIF3b	FBgn0034237	eukaryotic translation initiation factor 3 subunit b	CG4878|cg4878|eIF3|eIF3 S9|eIF3-S9|eIF3-s9|EIF3B|eIF3B|eIF3b|elF3b|SN2-6		CG4878	official_symbol	No
CG9346	CG9346	FBgn0034572		cg9346		CG9346	official_symbol	No
CG4266	Isha	FBgn0034598	Insulator su(Hw) mRNA adaptor	CG4266|cg4266		CG4266	synonym	No
LS2	LS2	FBgn0034834	Large Subunit 2	CG3162|cg3162		CG3162	official_symbol	No
CG4612	CG4612	FBgn0035016		cg4612		CG4612	official_symbol	No
Pof	Pof	FBgn0035047	Painting of fourth	CG3691|cg3691|POF|pof		CG3691	official_symbol	No
CG3594	CG3594	FBgn0035063		CG3594|cg3594|Eap		CG3594	official_symbol	No
CG7879	CG7879	FBgn0035235		cg7879		CG7879	official_symbol	No
CG1316	CG1316	FBgn0035526		cg1316		CG1316	official_symbol	No
Sf3b6	Sf3b6	FBgn0035692	Splicing factor 3b subunit 6	CG13298|cg13298|SF3B6		CG13298	official_symbol	No
